Date,Open,High,Low,Close,Adj Close,Volume
1996-08-19,4.053333,4.133333,4.053333,4.093333,2.416135,316875
1996-08-20,4.106667,4.106667,3.960000,4.000000,2.361046,294375
1996-08-21,4.000000,4.040000,4.000000,4.040000,2.384656,143438
1996-08-22,4.026667,4.200000,4.013333,4.200000,2.479098,214688
1996-08-23,4.173333,4.173333,4.000000,4.000000,2.361046,257813
1996-08-26,4.000000,4.040000,3.973333,4.000000,2.361046,227813
1996-08-27,4.000000,4.000000,3.946667,3.986667,2.353176,444375
1996-08-28,3.986667,4.000000,3.960000,4.000000,2.361046,257813
1996-08-29,4.000000,4.000000,3.960000,3.973333,2.345305,560625
1996-08-30,3.920000,3.920000,3.853333,3.866667,2.298387,610313
1996-09-03,3.840000,3.973333,3.813333,3.893333,2.314236,554063
1996-09-04,3.866667,3.986667,3.866667,3.960000,2.353865,300938
1996-09-05,3.960000,3.973333,3.933333,3.933333,2.338013,330000
1996-09-06,3.920000,3.960000,3.906667,3.946667,2.345939,902813
1996-09-09,3.973333,3.986667,3.946667,3.960000,2.353865,563438
1996-09-10,3.973333,4.040000,3.960000,4.000000,2.377641,732188
1996-09-11,3.973333,4.026667,3.960000,4.026667,2.393492,166875
1996-09-12,4.026667,4.026667,3.973333,3.986667,2.369716,232500
1996-09-13,4.000000,4.080000,3.986667,4.080000,2.425194,2056875
1996-09-16,4.133333,4.133333,4.053333,4.053333,2.409342,867188
1996-09-17,4.066667,4.066667,4.013333,4.053333,2.409342,439688
1996-09-18,4.040000,4.040000,3.986667,4.026667,2.393492,319688
1996-09-19,4.000000,4.066667,3.973333,4.053333,2.409342,342188
1996-09-20,4.066667,4.080000,4.053333,4.080000,2.425194,1935000
1996-09-23,4.066667,4.066667,4.026667,4.066667,2.417269,254063
1996-09-24,4.080000,4.160000,4.080000,4.120000,2.448971,260625
1996-09-25,4.146667,4.160000,4.120000,4.146667,2.464821,428438
1996-09-26,4.146667,4.160000,4.066667,4.120000,2.448971,650625
1996-09-27,4.120000,4.160000,4.093333,4.160000,2.472747,407813
1996-09-30,4.173333,4.186667,4.133333,4.173333,2.480672,433125
1996-10-01,4.160000,4.213333,4.160000,4.213333,2.504448,225000
1996-10-02,4.240000,4.240000,4.173333,4.200000,2.496523,227813
1996-10-03,4.186667,4.226667,4.146667,4.146667,2.464821,364688
1996-10-04,4.173333,4.253333,4.173333,4.253333,2.528225,193125
1996-10-07,4.266667,4.280000,4.240000,4.266667,2.536151,101250
1996-10-08,4.240000,4.280000,4.226667,4.240000,2.520297,185625
1996-10-09,4.266667,4.320000,4.253333,4.320000,2.567852,601875
1996-10-10,4.293333,4.320000,4.266667,4.306667,2.559928,623438
1996-10-11,4.333333,4.386667,4.320000,4.386667,2.607480,351563
1996-10-14,4.386667,4.413333,4.386667,4.400000,2.615407,74063
1996-10-15,4.413333,4.413333,4.386667,4.400000,2.615407,350625
1996-10-16,4.400000,4.506667,4.386667,4.493333,2.670882,518438
1996-10-17,4.533333,4.560000,4.506667,4.506667,2.678809,419063
1996-10-18,4.520000,4.560000,4.520000,4.533333,2.694659,308438
1996-10-21,4.506667,4.626667,4.506667,4.600000,2.734288,361875
1996-10-22,4.573333,4.640000,4.573333,4.640000,2.758063,386250
1996-10-23,4.613333,4.680000,4.586667,4.680000,2.781840,381563
1996-10-24,4.666667,4.666667,4.560000,4.586667,2.726362,256875
1996-10-25,4.573333,4.653333,4.560000,4.586667,2.726362,132188
1996-10-28,4.586667,4.680000,4.573333,4.573333,2.718436,221250
1996-10-29,4.600000,4.626667,4.560000,4.586667,2.726362,457500
1996-10-30,4.613333,4.626667,4.546667,4.560000,2.710510,172500
1996-10-31,4.546667,4.613333,4.520000,4.613333,2.742212,370313
1996-11-01,4.613333,4.666667,4.613333,4.653333,2.765989,249375
1996-11-04,4.666667,4.773333,4.666667,4.773333,2.837319,298125
1996-11-05,4.800000,4.813333,4.760000,4.773333,2.837319,526875
1996-11-06,4.773333,4.773333,4.693333,4.733333,2.813542,240938
1996-11-07,4.733333,4.800000,4.733333,4.760000,2.829392,268125
1996-11-08,4.773333,4.893333,4.773333,4.893333,2.908646,594375
1996-11-11,4.853333,4.880000,4.840000,4.880000,2.900724,78750
1996-11-12,4.866667,4.880000,4.826667,4.853333,2.884871,171563
1996-11-13,4.840000,4.893333,4.813333,4.880000,2.900724,145313
1996-11-14,4.853333,4.906667,4.853333,4.893333,2.908646,152813
1996-11-15,4.933333,4.933333,4.826667,4.920000,2.924500,458438
1996-11-18,4.946667,4.960000,4.893333,4.893333,2.908646,168750
1996-11-19,4.906667,4.920000,4.893333,4.906667,2.916572,125625
1996-11-20,4.906667,5.066667,4.866667,5.026667,2.987901,266250
1996-11-21,5.040000,5.040000,4.960000,4.973333,2.956201,175313
1996-11-22,4.973333,5.013333,4.920000,4.933333,2.932424,175313
1996-11-25,4.920000,4.986667,4.880000,4.986667,2.964127,378750
1996-11-26,4.986667,4.986667,4.826667,4.893333,2.908646,573750
1996-11-27,4.946667,5.000000,4.906667,4.906667,2.916572,223125
1996-11-29,4.933333,4.986667,4.933333,4.960000,2.948274,71250
1996-12-02,4.933333,4.933333,4.853333,4.866667,2.892799,170625
1996-12-03,4.853333,4.866667,4.746667,4.760000,2.829392,586875
1996-12-04,4.733333,4.786667,4.720000,4.760000,2.829392,353438
1996-12-05,4.746667,4.800000,4.733333,4.773333,2.854589,172500
1996-12-06,4.720000,4.760000,4.666667,4.666667,2.790800,478125
1996-12-09,4.693333,4.786667,4.680000,4.786667,2.862564,558750
1996-12-10,4.760000,4.813333,4.733333,4.733333,2.830669,226875
1996-12-11,4.693333,4.693333,4.613333,4.680000,2.798774,616875
1996-12-12,4.666667,4.666667,4.560000,4.640000,2.774852,205313
1996-12-13,4.600000,4.600000,4.493333,4.573333,2.734984,202500
1996-12-16,4.546667,4.613333,4.520000,4.520000,2.703089,565313
1996-12-17,4.506667,4.573333,4.506667,4.560000,2.727009,522188
1996-12-18,4.546667,4.573333,4.546667,4.573333,2.734984,852188
1996-12-19,4.586667,4.706667,4.560000,4.706667,2.814723,942188
1996-12-20,4.906667,4.906667,4.826667,4.893333,2.926351,1653750
1996-12-23,4.893333,4.906667,4.800000,4.880000,2.918381,440625
1996-12-24,4.866667,4.893333,4.813333,4.826667,2.886484,131250
1996-12-26,4.840000,4.920000,4.840000,4.906667,2.934327,240000
1996-12-27,4.880000,4.893333,4.853333,4.893333,2.926351,150938
1996-12-30,4.920000,4.920000,4.866667,4.893333,2.926351,312188
1996-12-31,4.880000,4.893333,4.880000,4.880000,2.918381,391875
1997-01-02,4.880000,4.946667,4.880000,4.906667,2.934327,519375
1997-01-03,4.933333,5.040000,4.933333,4.986667,2.982170,258750
1997-01-06,4.986667,5.106667,4.986667,5.026667,3.006089,602813
1997-01-07,5.000000,5.000000,4.880000,4.946667,2.958247,588750
1997-01-08,4.946667,4.946667,4.840000,4.880000,2.918381,431250
1997-01-09,4.906667,4.986667,4.906667,4.960000,2.966222,557813
1997-01-10,4.960000,5.026667,4.813333,5.026667,3.006089,774375
1997-01-13,5.053333,5.053333,4.906667,4.906667,2.934327,266250
1997-01-14,4.933333,5.013333,4.933333,5.013333,2.998116,161250
1997-01-15,5.013333,5.013333,4.960000,5.000000,2.990143,265313
1997-01-16,4.986667,5.080000,4.973333,5.080000,3.037983,226875
1997-01-17,5.053333,5.053333,5.000000,5.013333,2.998116,281250
1997-01-20,5.026667,5.026667,4.973333,4.986667,2.982170,157500
1997-01-21,4.933333,5.013333,4.920000,5.013333,2.998116,240000
1997-01-22,5.013333,5.013333,4.933333,4.960000,2.966222,141563
1997-01-23,4.986667,4.986667,4.760000,4.760000,2.846615,318750
1997-01-24,4.760000,4.813333,4.693333,4.733333,2.830669,344063
1997-01-27,4.706667,4.760000,4.653333,4.666667,2.790800,268125
1997-01-28,4.720000,4.786667,4.693333,4.706667,2.814723,476250
1997-01-29,4.693333,4.706667,4.640000,4.680000,2.798774,241875
1997-01-30,4.706667,4.720000,4.653333,4.706667,2.814723,384375
1997-01-31,4.720000,4.733333,4.653333,4.693333,2.806748,339375
1997-02-03,4.640000,4.693333,4.560000,4.680000,2.798774,594375
1997-02-04,4.640000,4.640000,4.573333,4.586667,2.742958,195938
1997-02-05,4.613333,4.626667,4.520000,4.586667,2.742958,400313
1997-02-06,4.506667,4.600000,4.493333,4.573333,2.734984,622500
1997-02-07,4.586667,4.600000,4.480000,4.586667,2.742958,360938
1997-02-10,4.600000,4.613333,4.586667,4.600000,2.750931,336563
1997-02-11,4.626667,4.640000,4.533333,4.600000,2.750931,369375
1997-02-12,4.586667,4.733333,4.573333,4.706667,2.814723,543750
1997-02-13,4.760000,4.813333,4.746667,4.813333,2.878510,607500
1997-02-14,4.853333,4.866667,4.813333,4.813333,2.878510,435938
1997-02-18,4.826667,4.853333,4.800000,4.826667,2.886484,450938
1997-02-19,4.813333,4.826667,4.693333,4.720000,2.822695,433125
1997-02-20,4.693333,4.760000,4.680000,4.693333,2.806748,225000
